Marital_status,Application_mode,Application_order,Course,Daytime_evening_attendance,Previous_qualification,Previous_qualification_grade,Nacionality,Mothers_qualification,Fathers_qualification,Mothers_occupation,Fathers_occupation,Admission_grade,Displaced,Educational_special_needs,Debtor,Tuition_fees_up_to_date,Gender,Scholarship_holder,Age_at_enrollment,International,Curricular_units_1st_sem_credited,Curricular_units_1st_sem_enrolled,Curricular_units_1st_sem_evaluations,Curricular_units_1st_sem_approved,Curricular_units_1st_sem_grade,Curricular_units_1st_sem_without_evaluations,Curricular_units_2nd_sem_credited,Curricular_units_2nd_sem_enrolled,Curricular_units_2nd_sem_evaluations,Curricular_units_2nd_sem_approved,Curricular_units_2nd_sem_grade,Curricular_units_2nd_sem_without_evaluations,Unemployment_rate,Inflation_rate,GDP,Status
single,1st phase - general contingent,2nd choice,Basic Education,daytime,secondary education,133.0,Portuguese,,,administrative staff,elementary occupations,130.2,yes,no,no,yes,female,no,19,no,0,6,6,0,0.0,0,0,6,0,0,0.0,0,12.7,3.7,-1.7,dropout
single,Change of institution/course (CET),1st choice,Tourism,daytime,,110.0,Portuguese,secondary education,secondary education,administrative staff,"skilled workers in industry, construction, and craftsmen",111.8,yes,no,no,yes,female,yes,21,no,0,6,7,6,10.571428571428571,0,0,6,8,5,11.0,0,8.9,1.4,3.51,non-dropout
single,1st phase - general contingent,1st choice,Veterinary Nursing,daytime,secondary education,149.0,Portuguese,,,"personal services, security and safety workers","personal services, security and safety workers",137.1,yes,no,no,yes,female,yes,18,no,0,5,7,4,13.25,0,0,5,5,5,12.0,0,10.8,1.4,1.74,non-dropout
single,1st phase - general contingent,1st choice,Journalism and Communication,daytime,secondary education,127.0,Portuguese,,,elementary occupations,intermediate level technicians,120.7,yes,no,no,yes,female,no,20,no,0,6,6,5,13.2,0,0,6,7,0,0.0,0,15.5,2.8,-4.06,dropout
single,Change of institution/course (International),1st choice,Social Service,daytime,secondary education,137.0,Portuguese,,,"personal services, security and safety workers",installation and machine operators,137.4,yes,no,no,yes,female,no,18,no,0,6,10,1,12.0,0,0,6,14,2,11.0,0,10.8,1.4,1.74,non-dropout
single,Short cycle diploma holders,2nd choice,Nursing,daytime,secondary education,135.0,Portuguese,,secondary education,"personal services, security and safety workers",administrative staff,127.3,yes,no,no,yes,female,no,18,no,0,7,8,7,13.30625,0,0,8,8,8,14.545,0,15.5,2.8,-4.06,non-dropout
single,1st phase - general contingent,1st choice,Equinculture,daytime,secondary education,137.0,Portuguese,basic education 3rd cycle,,intermediate level technicians,"personal services, security and safety workers",136.3,yes,no,no,yes,female,no,20,no,0,5,8,4,12.5,1,0,5,8,4,12.25,2,10.8,1.4,1.74,non-dropout
single,1st phase - general contingent,1st choice,Basic Education,daytime,secondary education,140.0,Portuguese,,,"skilled workers in industry, construction, and craftsmen","skilled workers in industry, construction, and craftsmen",124.6,yes,no,no,yes,female,no,18,no,0,7,7,6,11.666666666666666,0,0,7,8,6,13.5,0,16.2,0.3,-0.92,non-dropout
single,1st phase - general contingent,3rd choice,Animation and Multimedia Design,daytime,secondary education,122.0,Portuguese,secondary education,secondary education,elementary occupations,installation and machine operators,120.3,no,no,no,yes,female,yes,21,no,0,0,0,0,0.0,0,0,0,0,0,0.0,0,11.1,0.6,2.02,non-dropout
single,Change of institution/course (International),4th choice,Oral Hygiene,daytime,secondary education,127.0,Portuguese,secondary education,,administrative staff,"skilled workers in industry, construction, and craftsmen",121.8,yes,no,no,yes,female,no,20,no,0,7,14,7,11.4375,0,0,8,9,8,11.425,0,12.7,3.7,-1.7,non-dropout
single,1st phase - general contingent,4th choice,Nursing,daytime,secondary education,142.0,Portuguese,,,representatives of the legislative power and executive bodies,representatives of the legislative power and executive bodies,125.5,yes,no,no,yes,female,no,18,no,0,8,12,7,12.857142857142858,0,0,8,12,7,12.857142857142858,0,12.7,3.7,-1.7,non-dropout
single,1st phase - general contingent,4th choice,Advertising and Marketing Management,daytime,secondary education,125.0,Portuguese,secondary education,,administrative staff,"skilled workers in industry, construction, and craftsmen",114.9,yes,no,no,yes,female,yes,19,no,0,6,8,6,13.375,0,0,6,7,6,12.285714285714286,0,11.1,0.6,2.02,non-dropout
single,1st phase - general contingent,1st choice,Nursing,daytime,secondary education,126.0,Portuguese,,,intermediate level technicians,"skilled workers in industry, construction, and craftsmen",123.9,no,no,no,yes,female,no,19,no,0,7,8,6,13.296666666666669,0,0,8,9,7,14.114285714285714,0,11.1,0.6,2.02,non-dropout
single,1st phase - general contingent,1st choice,Social Service,daytime,secondary education,151.0,Portuguese,,,elementary occupations,elementary occupations,157.0,yes,no,yes,yes,female,yes,18,no,0,6,8,5,11.6,0,0,6,12,4,11.0,0,7.6,2.6,0.32,non-dropout
single,Short cycle diploma holders,2nd choice,Social Service,daytime,secondary education,115.0,Portuguese,,,"skilled workers in industry, construction, and craftsmen",installation and machine operators,116.4,yes,no,no,yes,female,no,21,no,0,6,9,6,11.375,0,0,6,9,6,13.285714285714286,0,16.2,0.3,-0.92,non-dropout
single,1st phase - general contingent,1st choice,Veterinary Nursing,daytime,secondary education,138.0,Portuguese,,,intermediate level technicians,intermediate level technicians,131.0,yes,no,no,yes,female,no,18,no,0,5,9,5,12.666666666666666,2,0,5,7,4,13.0,0,9.4,-0.8,-3.12,non-dropout
single,1st phase - general contingent,1st choice,Management,daytime,secondary education,135.0,Portuguese,,secondary education,elementary occupations,elementary occupations,122.1,yes,no,no,yes,female,no,20,no,0,5,6,5,12.0,0,0,5,6,5,12.333333333333334,0,16.2,0.3,-0.92,non-dropout
single,Short cycle diploma holders,2nd choice,Nursing,daytime,secondary education,127.0,Portuguese,basic education 3rd cycle,basic education 3rd cycle,representatives of the legislative power and executive bodies,armed forces professions,118.8,yes,no,no,yes,male,no,19,no,0,7,9,6,12.933333333333332,0,0,7,7,6,13.716666666666669,0,16.2,0.3,-0.92,non-dropout
single,Change of institution/course (1st cycle),1st choice,Agronomy,daytime,,150.0,Portuguese,12th year of schooling - not completed,basic education 2nd cycle,administrative staff,specialists in intellectual and scientific activities,150.0,no,no,no,yes,male,no,21,no,0,6,15,5,11.857142857142858,0,0,6,17,5,10.571428571428571,0,16.2,0.3,-0.92,non-dropout
single,Short cycle diploma (CET),1st choice,Communication Design,daytime,secondary education,125.0,Portuguese,,basic education 3rd cycle,,,130.0,yes,no,no,yes,male,no,20,no,2,6,7,6,12.833333333333334,0,0,6,9,4,13.4,0,8.9,1.4,3.51,non-dropout
single,1st phase - general contingent,1st choice,Management,daytime,secondary education,143.0,Portuguese,secondary education,secondary education,administrative staff,"farmers and skilled workers in agriculture, fisheries, and forestry",138.8,no,no,no,no,male,no,18,no,0,5,9,3,11.333333333333334,0,0,5,8,2,13.5,0,8.9,1.4,3.51,non-dropout
single,Change of institution/course (International),1st choice,Social Service (evening),evening,secondary education,138.0,Portuguese,,secondary education,elementary occupations,"personal services, security and safety workers",134.5,yes,no,no,yes,female,no,19,no,0,6,6,6,12.666666666666666,0,0,6,8,6,14.375,0,12.4,0.5,1.79,non-dropout
single,1st phase - general contingent,1st choice,Management (evening),evening,secondary education,130.0,Portuguese,higher education - bachelor,,intermediate level technicians,elementary occupations,131.4,no,no,no,yes,male,no,34,no,0,5,6,5,12.4,0,0,5,9,5,13.428571428571429,0,13.9,-0.3,0.79,non-dropout
single,International student (bachelor),1st choice,Biofuel Production Technologies,daytime,secondary education,130.0,Portuguese,,,elementary occupations,"farmers and skilled workers in agriculture, fisheries, and forestry",102.5,no,no,yes,no,male,no,37,no,0,7,7,0,0.0,0,0,7,7,1,10.0,0,8.9,1.4,3.51,dropout
single,International student (bachelor),1st choice,Informatics Engineering,daytime,technological specialization course (CET),133.1,Portuguese,,,other,other,128.8,yes,no,no,yes,male,no,43,no,0,5,0,0,0.0,0,0,5,0,0,0.0,0,7.6,2.6,0.32,dropout
single,Technological specialization diploma holders,1st choice,Management,daytime,secondary education,140.0,Portuguese,,,"farmers and skilled workers in agriculture, fisheries, and forestry","farmers and skilled workers in agriculture, fisheries, and forestry",122.9,no,no,no,yes,female,no,55,no,0,5,10,1,10.0,0,0,5,8,2,12.0,2,16.2,0.3,-0.92,dropout
divorced,International student (bachelor),1st choice,Management (evening),evening,secondary education,120.0,Portuguese,,,elementary occupations,intermediate level technicians,113.9,yes,no,no,yes,female,no,39,no,0,5,8,5,11.0,0,0,5,5,5,11.6,0,7.6,2.6,0.32,non-dropout
single,Change of institution/course (1st cycle),1st choice,Equinculture,daytime,,120.0,Spanish,12th year of schooling - not completed,12th year of schooling - not completed,intermediate level technicians,"farmers and skilled workers in agriculture, fisheries, and forestry",120.0,no,no,yes,no,female,no,20,yes,2,6,13,3,11.666666666666666,0,1,6,11,3,12.0,0,12.4,0.5,1.79,dropout
single,1st phase - general contingent,5th choice,Journalism and Communication,daytime,secondary education,126.0,Portuguese,basic education 3rd cycle,basic education 3rd cycle,specialists in intellectual and scientific activities,specialists in intellectual and scientific activities,121.1,no,no,yes,yes,female,no,18,no,0,6,6,4,12.75,0,0,5,5,0,0.0,0,12.7,3.7,-1.7,dropout
single,1st phase - general contingent,2nd choice,Management,daytime,secondary education,133.0,Portuguese,basic education 3rd cycle,,specialists in intellectual and scientific activities,"skilled workers in industry, construction, and craftsmen",120.4,yes,no,no,yes,female,no,22,no,0,5,5,5,14.8,0,0,5,5,5,15.8,0,8.9,1.4,3.51,non-dropout
single,1st phase - general contingent,6th choice,Nursing,daytime,secondary education,103.0,Portuguese,secondary education,basic education 3rd cycle,specialists in intellectual and scientific activities,specialists in intellectual and scientific activities,100.6,yes,yes,no,yes,female,no,22,no,0,7,9,5,13.928,0,0,8,9,7,14.342857142857142,0,11.1,0.6,2.02,non-dropout
single,Short cycle diploma holders,1st choice,Journalism and Communication,daytime,secondary education,120.0,Portuguese,secondary education,,"personal services, security and safety workers","personal services, security and safety workers",121.4,no,no,no,no,female,no,20,no,0,6,7,4,13.0,0,0,6,7,5,13.8,0,12.4,0.5,1.79,dropout
single,International student (bachelor),1st choice,Management (evening),evening,secondary education,133.1,Portuguese,,,elementary occupations,elementary occupations,109.7,no,no,no,yes,female,no,29,no,0,5,0,0,0.0,0,0,5,0,0,0.0,0,16.2,0.3,-0.92,dropout
single,Short cycle diploma holders,1st choice,Management (evening),evening,secondary education,154.0,Portuguese,,,administrative staff,"personal services, security and safety workers",134.1,no,no,no,yes,female,no,24,no,0,5,9,2,11.5,0,0,5,11,3,14.333333333333334,1,7.6,2.6,0.32,non-dropout
single,Short cycle diploma holders,2nd choice,Social Service,daytime,secondary education,130.0,Portuguese,,,elementary occupations,elementary occupations,127.6,yes,no,no,yes,female,no,18,no,0,6,6,6,11.666666666666666,0,0,6,8,5,13.2,0,11.1,0.6,2.02,non-dropout
single,Short cycle diploma holders,6th choice,Nursing,daytime,secondary education,132.0,Portuguese,,,"skilled workers in industry, construction, and craftsmen","skilled workers in industry, construction, and craftsmen",132.4,yes,no,no,yes,female,yes,22,no,0,7,8,6,13.516666666666666,0,0,8,9,7,13.771428571428572,0,11.1,0.6,2.02,non-dropout
single,Change of institution/course (1st cycle),1st choice,Social Service (evening),evening,,130.0,Portuguese,secondary education,,elementary occupations,elementary occupations,133.4,no,no,no,yes,female,yes,21,no,3,6,6,6,11.5,0,2,6,7,6,13.285714285714286,0,12.4,0.5,1.79,non-dropout
single,1st phase - general contingent,1st choice,Social Service,daytime,secondary education,139.0,Portuguese,,,elementary occupations,elementary occupations,126.1,no,no,no,yes,female,yes,19,no,0,6,7,5,12.333333333333334,0,0,6,7,6,12.833333333333334,0,12.7,3.7,-1.7,non-dropout
single,International student (bachelor),1st choice,Tourism,daytime,secondary education,130.0,Portuguese,,,elementary occupations,"skilled workers in industry, construction, and craftsmen",113.5,no,no,no,yes,female,yes,24,no,0,6,6,6,13.666666666666666,0,0,6,6,6,14.166666666666666,0,12.4,0.5,1.79,non-dropout
single,1st phase - general contingent,1st choice,Nursing,daytime,secondary education,139.0,Portuguese,,,"farmers and skilled workers in agriculture, fisheries, and forestry","farmers and skilled workers in agriculture, fisheries, and forestry",121.3,yes,no,no,yes,female,yes,19,no,0,8,10,6,11.833333333333334,0,0,8,10,6,11.833333333333334,0,9.4,-0.8,-3.12,non-dropout
single,1st phase - general contingent,1st choice,Journalism and Communication,daytime,secondary education,127.0,Portuguese,secondary education,,"skilled workers in industry, construction, and craftsmen","skilled workers in industry, construction, and craftsmen",121.8,yes,no,no,yes,female,yes,20,no,0,6,11,4,14.0,0,0,6,12,3,11.0,0,9.4,-0.8,-3.12,non-dropout
single,1st phase - general contingent,3rd choice,Equinculture,daytime,secondary education,167.0,Portuguese,,,,,159.3,no,no,no,yes,female,no,19,no,0,5,7,5,14.714285714285714,0,0,5,5,5,15.8,0,7.6,2.6,0.32,non-dropout
single,International student (bachelor),1st choice,Management (evening),evening,secondary education,130.0,Portuguese,,,elementary occupations,elementary occupations,120.0,no,no,no,yes,female,no,27,no,0,5,12,5,10.6,0,0,5,10,5,11.0,0,9.4,-0.8,-3.12,dropout
single,1st phase - general contingent,1st choice,Nursing,daytime,secondary education,130.0,Portuguese,secondary education,,"personal services, security and safety workers","personal services, security and safety workers",129.1,yes,no,no,yes,female,no,18,no,0,7,9,7,13.044444444444444,0,0,8,10,8,13.595,0,15.5,2.8,-4.06,non-dropout
married,Holders of other higher education courses,1st choice,Tourism,daytime,,130.0,Portuguese,secondary education,basic education 3rd cycle,administrative staff,intermediate level technicians,130.0,no,no,no,yes,female,no,39,no,0,6,10,0,0.0,0,0,6,6,0,0.0,0,12.4,0.5,1.79,dropout
single,International student (bachelor),1st choice,Equinculture,daytime,,129.0,Portuguese,basic education 3rd cycle,basic education 3rd cycle,specialists in intellectual and scientific activities,specialists in intellectual and scientific activities,155.3,yes,no,no,yes,female,no,27,no,0,6,9,5,13.0,0,5,11,13,10,12.9,0,12.4,0.5,1.79,dropout
single,Short cycle diploma holders,1st choice,Nursing,daytime,secondary education,141.0,Portuguese,,,"skilled workers in industry, construction, and craftsmen",armed forces professions,139.8,yes,no,no,yes,female,no,18,no,0,8,8,8,14.935,0,0,8,8,8,14.935,0,9.4,-0.8,-3.12,non-dropout
single,1st phase - general contingent,3rd choice,Animation and Multimedia Design,daytime,secondary education,125.0,Portuguese,,,administrative staff,elementary occupations,115.2,yes,no,no,yes,female,no,18,no,0,0,0,0,0.0,0,0,0,0,0,0.0,0,7.6,2.6,0.32,non-dropout
single,1st phase - general contingent,2nd choice,Nursing,daytime,secondary education,125.0,Portuguese,,,elementary occupations,elementary occupations,114.9,no,no,no,yes,female,no,18,no,0,7,8,6,13.133333333333333,0,0,8,12,7,12.221428571428572,0,16.2,0.3,-0.92,non-dropout
single,Change of institution/course (1st cycle),1st choice,Social Service,daytime,,130.0,Portuguese,,secondary education,elementary occupations,elementary occupations,131.9,no,no,no,yes,female,yes,21,no,3,6,7,6,12.0,0,2,6,7,6,12.0,0,13.9,-0.3,0.79,non-dropout
single,Short cycle diploma holders,3rd choice,Animation and Multimedia Design,daytime,secondary education,133.0,Portuguese,secondary education,,administrative staff,"skilled workers in industry, construction, and craftsmen",126.0,yes,no,no,yes,male,yes,19,no,0,0,0,0,0.0,0,0,0,0,0,0.0,0,10.8,1.4,1.74,non-dropout
single,Short cycle diploma holders,1st choice,Communication Design,daytime,secondary education,127.0,Portuguese,secondary education,secondary education,intermediate level technicians,administrative staff,130.2,yes,no,no,yes,male,no,19,no,0,6,6,5,11.4,0,0,6,8,1,10.0,0,10.8,1.4,1.74,non-dropout
single,Technological specialization diploma holders,1st choice,Communication Design,daytime,secondary education,116.0,Portuguese,secondary education,secondary education,intermediate level technicians,intermediate level technicians,120.9,no,no,no,yes,male,no,24,no,0,6,6,0,0.0,0,0,6,6,0,0.0,0,12.7,3.7,-1.7,non-dropout
divorced,Transfer,1st choice,Nursing,daytime,,133.1,Portuguese,secondary education,secondary education,"personal services, security and safety workers","personal services, security and safety workers",126.0,yes,no,no,yes,male,no,29,no,2,7,10,5,11.9,0,1,8,10,5,11.0,0,13.9,-0.3,0.79,dropout
single,1st phase - general contingent,3rd choice,Animation and Multimedia Design,daytime,secondary education,139.0,Portuguese,,,"personal services, security and safety workers",intermediate level technicians,128.2,yes,no,no,yes,male,yes,19,no,0,0,0,0,0.0,0,0,0,0,0,0.0,0,10.8,1.4,1.74,non-dropout
single,Change of institution/course (1st cycle),1st choice,Agronomy,daytime,,130.0,Portuguese,,,elementary occupations,elementary occupations,130.0,yes,no,no,yes,male,no,23,no,0,6,8,6,12.571428571428571,0,0,6,7,6,12.428571428571429,0,8.9,1.4,3.51,non-dropout
single,1st phase - general contingent,3rd choice,Management,daytime,secondary education,125.0,Portuguese,secondary education,,"skilled workers in industry, construction, and craftsmen","skilled workers in industry, construction, and craftsmen",120.1,no,no,yes,yes,male,no,19,no,0,5,8,5,11.2,0,0,5,10,4,10.75,3,16.2,0.3,-0.92,dropout
single,International student (bachelor),1st choice,Tourism,daytime,secondary education,160.0,Portuguese,,,"skilled workers in industry, construction, and craftsmen",armed forces professions,100.0,no,no,no,yes,male,no,26,no,0,6,7,6,12.0,0,0,6,8,5,10.8,0,12.7,3.7,-1.7,non-dropout
single,Short cycle diploma holders,1st choice,Management,daytime,secondary education,148.0,Portuguese,,,"personal services, security and safety workers","personal services, security and safety workers",134.0,no,no,no,yes,male,no,18,no,0,5,9,0,0.0,0,0,5,5,0,0.0,0,7.6,2.6,0.32,non-dropout
single,Short cycle diploma holders,1st choice,Nursing,daytime,secondary education,150.0,Portuguese,,,installation and machine operators,administrative staff,130.8,no,no,no,yes,male,no,24,no,0,7,8,7,11.975,0,0,8,8,8,13.75,0,13.9,-0.3,0.79,non-dropout
single,1st phase - general contingent,1st choice,Animation and Multimedia Design,daytime,secondary education,141.0,Portuguese,,,"personal services, security and safety workers",armed forces professions,135.8,yes,no,no,yes,male,no,19,no,0,0,0,0,0.0,0,0,0,0,0,0.0,0,15.5,2.8,-4.06,dropout
single,Short cycle diploma holders,4th choice,Tourism,daytime,secondary education,118.0,Portuguese,,,"personal services, security and safety workers","skilled workers in industry, construction, and craftsmen",111.7,yes,no,no,yes,male,no,18,no,0,6,12,3,11.666666666666666,0,0,6,12,1,12.0,0,12.4,0.5,1.79,dropout
single,1st phase - general contingent,2nd choice,Journalism and Communication,daytime,secondary education,142.0,Portuguese,,,elementary occupations,elementary occupations,132.9,yes,no,no,yes,male,no,18,no,0,6,8,6,12.333333333333334,0,0,6,11,3,12.333333333333334,0,10.8,1.4,1.74,non-dropout
single,Short cycle diploma holders,3rd choice,Management,daytime,secondary education,120.0,Portuguese,,,administrative staff,"skilled workers in industry, construction, and craftsmen",115.5,yes,no,yes,yes,male,no,18,no,0,5,8,3,10.333333333333334,0,0,5,11,3,10.857142857142858,0,10.8,1.4,1.74,dropout
single,Change of institution/course (International),4th choice,Tourism,daytime,secondary education,106.0,Portuguese,,,"skilled workers in industry, construction, and craftsmen","skilled workers in industry, construction, and craftsmen",106.0,yes,no,no,yes,male,yes,21,no,0,6,8,4,10.5,0,0,6,11,1,11.0,0,9.4,-0.8,-3.12,dropout
single,Short cycle diploma holders,4th choice,Journalism and Communication,daytime,secondary education,121.0,Portuguese,secondary education,,elementary occupations,installation and machine operators,120.3,yes,no,yes,yes,male,yes,19,no,0,6,6,6,13.666666666666666,0,0,6,6,6,13.333333333333334,0,8.9,1.4,3.51,non-dropout
single,Short cycle diploma holders,4th choice,Nursing,daytime,secondary education,150.0,Portuguese,,,elementary occupations,elementary occupations,130.8,no,no,no,yes,male,yes,22,no,0,7,7,7,14.842857142857142,0,0,8,9,8,15.055555555555555,0,16.2,0.3,-0.92,non-dropout
married,International student (bachelor),1st choice,Social Service (evening),evening,secondary education,120.0,Portuguese,,,elementary occupations,"farmers and skilled workers in agriculture, fisheries, and forestry",117.0,no,no,no,yes,male,no,33,no,0,6,8,6,12.0,0,0,6,6,6,11.666666666666666,0,10.8,1.4,1.74,non-dropout
single,1st phase - general contingent,6th choice,Basic Education,daytime,secondary education,114.0,Portuguese,,,elementary occupations,elementary occupations,110.2,yes,no,no,yes,male,no,20,no,0,6,8,5,12.2,0,0,6,7,5,12.2,0,10.8,1.4,1.74,dropout
single,International student (bachelor),1st choice,Management (evening),evening,higher education - bachelor,140.0,Portuguese,basic education 3rd cycle,basic education 3rd cycle,specialists in intellectual and scientific activities,specialists in intellectual and scientific activities,155.7,yes,no,no,yes,male,no,35,no,0,1,1,0,0.0,1,0,5,0,0,0.0,0,10.8,1.4,1.74,dropout
single,International student (bachelor),1st choice,Agronomy,daytime,12th year of schooling - not completed,160.0,Portuguese,basic education 3rd cycle,basic education 3rd cycle,administrative staff,specialists in intellectual and scientific activities,180.4,no,no,yes,yes,male,no,24,no,6,12,17,6,12.166666666666666,0,7,12,14,10,13.3,0,12.4,0.5,1.79,dropout
single,Short cycle diploma holders,1st choice,Tourism,daytime,secondary education,120.0,Portuguese,,,administrative staff,administrative staff,125.5,no,no,no,yes,male,no,18,no,0,5,6,5,12.0,0,0,5,8,3,11.333333333333334,0,12.7,3.7,-1.7,non-dropout
married,International student (bachelor),1st choice,Social Service (evening),evening,secondary education,130.0,Portuguese,,,elementary occupations,"farmers and skilled workers in agriculture, fisheries, and forestry",110.0,yes,no,no,yes,female,no,33,no,0,6,7,6,11.0,0,0,6,11,5,11.0,0,9.4,-0.8,-3.12,non-dropout
single,Transfer,1st choice,Nursing,daytime,secondary education,160.0,Portuguese,,,elementary occupations,"skilled workers in industry, construction, and craftsmen",161.0,yes,no,no,yes,female,yes,22,no,0,8,8,7,13.08,0,0,8,8,7,13.08,0,10.8,1.4,1.74,non-dropout
single,International student (bachelor),1st choice,Advertising and Marketing Management,daytime,secondary education,120.0,Portuguese,secondary education,,administrative staff,"personal services, security and safety workers",100.0,no,no,no,yes,female,yes,25,no,0,5,7,4,10.5,0,0,5,7,5,11.6,0,9.4,-0.8,-3.12,non-dropout
single,Short cycle diploma holders,1st choice,Communication Design,daytime,secondary education,124.0,Portuguese,,,administrative staff,other,117.6,yes,no,no,yes,male,no,20,no,0,6,9,6,10.666666666666666,1,0,6,6,5,11.2,0,7.6,2.6,0.32,non-dropout
single,1st phase - general contingent,6th choice,Management,daytime,secondary education,143.0,Portuguese,,,elementary occupations,elementary occupations,128.7,yes,no,no,yes,male,no,23,no,0,5,6,4,14.0,0,0,5,5,5,13.8,0,11.1,0.6,2.02,non-dropout
single,Technological specialization diploma holders,2nd choice,Informatics Engineering,daytime,secondary education,115.0,Portuguese,,,elementary occupations,"farmers and skilled workers in agriculture, fisheries, and forestry",112.2,yes,no,yes,yes,male,no,18,no,0,5,9,2,10.0,0,0,5,9,0,0.0,0,15.5,2.8,-4.06,non-dropout
single,International student (bachelor),1st choice,Nursing,daytime,secondary education,133.1,Portuguese,secondary education,secondary education,administrative staff,armed forces professions,100.8,no,no,no,yes,male,no,24,no,0,7,18,0,0.0,0,0,7,7,0,0.0,0,13.9,-0.3,0.79,dropout
single,Short cycle diploma holders,2nd choice,Journalism and Communication,daytime,secondary education,133.1,Moldova (Republic of),,secondary education,elementary occupations,elementary occupations,105.0,yes,no,no,no,female,no,21,yes,0,6,6,6,14.0,0,0,6,6,6,13.5,0,8.9,1.4,3.51,non-dropout
single,Change of course institution,1st choice,Equinculture,daytime,secondary education,133.1,Moldova (Republic of),secondary education,secondary education,administrative staff,administrative staff,100.0,no,no,no,yes,female,no,26,yes,0,6,7,2,12.0,1,0,6,6,0,0.0,0,8.9,1.4,3.51,dropout
